"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_waist_circumference_adolescent_protocol_record_id","px021601_phenx_waist_circumference_adolescent_protocol",,"text","Record ID",,"PX021601",,,,,,,,,,"",
"waist_circ_in_cm","px021601_phenx_waist_circumference_adolescent_protocol",,"radio","Waist circumference measured in centimeter or inch","1, centimeter | 2, inch","PX021601",,,,,,,,,,"",""
"waist_circum_exhibit_1","px021601_phenx_waist_circumference_adolescent_protocol",,"descriptive","Exhibit 1. Location of Measurement Landmarks between the Lowest Rib and Iliac Crest (Ilium).",,"PX021601",,,,,,,,,,"",""
"adolescent_waist_circumference_iliac_crest_1","px021601_phenx_waist_circumference_adolescent_protocol",,"text","Measured circumference at the top of the hips measured to the nearest 0.1 centimeter, first measurement.",,"PX021601",,1,1000,,"[waist_circ_in_cm] = '1'",,,,,"",""
"adolescent_waist_circumference_iliac_crest_2","px021601_phenx_waist_circumference_adolescent_protocol",,"text","Measured circumference at the top of the hips measured to the nearest 0.1 centimeter, second measurement.",,"PX021601",,1,1000,,"[waist_circ_in_cm] = '1'",,,,,"",""
"adolescent_waist_circumference_iliac_crest_3","px021601_phenx_waist_circumference_adolescent_protocol",,"text","Measured circumference at the top of the hips measured to the nearest 0.1 centimeter, thrid measurement",,"PX021601",,1,1000,,"[waist_circ_in_cm] = '1'",,,,,"",""
"adolescent_waist_circumference_iliac_crest_average","px021601_phenx_waist_circumference_adolescent_protocol",,"text","Measured circumference at the top of the hips measured to the nearest 0.1 centimeter, average",,"PX021601",,1,1000,,"[waist_circ_in_cm] = '1'",,,,,"",""
"distance_bottom_rib_iliac_crest_1","px021601_phenx_waist_circumference_adolescent_protocol",,"text","Measured distance between the bottom of the ribcage to the top of the hips measured to the nearest 0.1 centimeter, first measurement.",,"PX021601",,1,1000,,"[waist_circ_in_cm] = '1'",,,,,"",""
"distance_bottom_rib_iliac_crest_2","px021601_phenx_waist_circumference_adolescent_protocol",,"text","Measured distance between the bottom of the ribcage to the top of the hips measured to the nearest 0.1 centimeter, second measurement.",,"PX021601",,1,1000,,"[waist_circ_in_cm] = '1'",,,,,"",""
"distance_bottom_rib_iliac_crest_3","px021601_phenx_waist_circumference_adolescent_protocol",,"text","Measured distance between the bottom of the ribcage to the top of the hips measured to the nearest 0.1 centimeter, third measurement.",,"PX021601",,1,1000,,"[waist_circ_in_cm] = '1'",,,,,"",""
"distance_bottom_rib_iliac_crest_average","px021601_phenx_waist_circumference_adolescent_protocol",,"text","Measured distance between the bottom of the ribcage to the top of the hips measured to the nearest 0.1 centimeter, average.",,"PX021601",,1,1000,,"[waist_circ_in_cm] = '1'",,,,,"",""
